item,term,candidate,prefixed,vocabulary,tier,fit,reason,definition,source,evidence,found_by
2,oht:Version,http://usefulinc.com/ns/doap#Version,doap:Version,DOAP,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",Version information of a project release.,http://usefulinc.com/ns/doap,definition from source file,bm25
2,oht:Version,http://purl.org/pav/previousVersion,pav:previousVersion,PAV,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.","The previous version of a resource in a lineage. For instance a news article updated to correct factual information would point to the previous version of the article with pav:previousVersion. If however the content has significantly changed so that the two resources no longer share lineage (say a new article that talks about the same facts), they can instead be related using pav:derivedFrom. This property is normally used in a functional way, although PAV does not formally restrict this. Earlier versions which are not direct ancestors of this resource may instead be provided using the superproperty pav:hasEarlierVersion. A version number of this resource can be provided using the data property pav:version. To indicate that this version is a snapshot of a more general, non-versioned resource, e.g. ""Weather Today"" vs. ""Weather Today on 2013-12-07"", see pav:hasVersion. Note that it might be confusing to indicate pav:previousVersion from a resource that also has pav:hasVersion or pav:hasCurrentVersion relations, as such resources are intended to be a long-living and ""unversioned"", while pav:previousVersion is intended for use between permalink-like ""snapshots"" arranged in a linear history.",http://purl.org/pav/,definition from source file,bm25
2,oht:Version,https://w3id.org/semapv/vocab/StableMarriageFiltering,semapv:StableMarriageFiltering,SEMAPV,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",,https://w3id.org/semapv/vocab/,no definition in file,bm25
2,oht:Version,http://purl.org/skos-history/ConceptVersion,sh:ConceptVersion,skos-history,3,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",(???) A version of a SKOS concept.,http://purl.org/skos-history/,definition from source file,bm25
2,oht:Version,http://purl.org/pav/hasEarlierVersion,pav:hasEarlierVersion,PAV,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.","This versioned resource has an earlier version. Any earlier version of this resource can be indicated with pav:hasEarlierVersion, e.g.: <http://example.com/v4> pav:hasEarlierVersion <http://example.com/v2> ; pav:hasEarlierVersion <http://example.com/v1> . The subproperty pav:previousVersion SHOULD be used if the earlier version is the direct ancestor of this version. <http://example.com/v4> pav:previousVersion <http://example.com/v3> . This property is transitive, so it should not be necessary to repeat the earlier versions of an earlier version. A chain of previous versions can be declared using the subproperty pav:previousVersion, implying that the previous previous version is also an earlier version. It might however still be useful to declare an earlier version explicitly, for instance because it is an earlier version of high relevance or because the complete chain of pav:previousVersion is not available. To indicate that this version is a snapshot of a more general, non-versioned resource, e.g. ""Weather Today"" vs. ""Weather Today on 2013-12-07"", see pav:hasVersion.",http://purl.org/pav/,definition from source file,bm25
2,oht:Version,http://purl.org/ontology/bibo/edition,bibo:edition,BIBO,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",The name defining a special edition of a document. Normally its a literal value composed of a version number and words.,http://purl.org/ontology/bibo/,definition from source file,bm25
2,oht:Version,https://schema.org/releaseNotes,schema:releaseNotes,schema.org,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",Description of what changed in this version.,https://schema.org/version/latest/schemaorg-current-https.ttl,definition from source file,bm25
2,oht:Version,http://purl.org/skos-history/ConceptDelta,sh:ConceptDelta,skos-history,3,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",The delta of two versions of a SKOS concept.,http://purl.org/skos-history/,definition from source file,bm25
2,oht:Version,http://data.europa.eu/eli/ontology#Version,eli:Version,ELI,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",Formally defined as the set of skos:Concept in concept scheme eli:VersionTable,http://data.europa.eu/eli/ontology,definition from source file,bm25
2,oht:Version,http://purl.org/dc/terms/hasVersion,dcterms:hasVersion,DCMI Terms,1,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.","A related resource that is a version, edition, or adaptation of the described resource.",https://www.dublincore.org/specifications/dublin-core/dcmi-terms/dublin_core_terms.ttl,definition from source file,bm25
2,oht:Version,http://www.w3.org/ns/adms#prev,adms:prev,ADMS,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",A link to the previous version of the Asset.,https://www.w3.org/ns/adms.ttl,definition from source file,bm25
2,oht:Version,http://www.w3.org/2002/07/owl#versionInfo,owl:versionInfo,OWL 2,1,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",The annotation property that provides version information for an ontology or another OWL construct.,https://www.w3.org/2002/07/owl.ttl,definition from source file,lead
2,oht:Version,https://schema.org/version,schema:version,schema.org,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",The version of the CreativeWork embodied by a specified resource.,https://schema.org/version/latest/schemaorg-current-https.ttl,definition from source file,lead
2,oht:Version,http://www.w3.org/ns/dcat#DatasetSeries,dcat:DatasetSeries,DCAT 3,1,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.","A collection of datasets that are published separately, but share some common characteristics that groups them.",https://www.w3.org/ns/dcat.ttl,definition from source file,lead
2,oht:Version,http://www.w3.org/ns/adms#Asset,adms:Asset,ADMS,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",An abstract entity that reflects the intellectual content of the asset and represents those characteristics of the asset that are independent of its physical embodiment. This abstract entity combines the FRBR entities work (a distinct intellectual or artistic creation) and expression (the intellectual or artistic realization of a work),https://www.w3.org/ns/adms.ttl,definition from source file,lead
3,oht:Change,http://purl.org/skos-history/SchemeDelta,sh:SchemeDelta,skos-history,3,related,"A whole delta between two scheme versions, not one change; tier 3.",The delta of two versions of a SKOS concept scheme.,http://purl.org/skos-history/,verified at source,bm25+lead
3,oht:Change,http://www.w3.org/ns/prov#Revision,prov:Revision,PROV-O,1,related,"A qualified derivation between two entity versions, not a changelog entry.",A revision is a derivation for which the resulting entity is a revised version of some original. The implication here is that the resulting entity contains substantial content from the original. Revision is a particular case of derivation.,https://www.w3.org/ns/prov.ttl,verified at source,bm25+lead
3,oht:Change,https://schema.org/UpdateAction,schema:UpdateAction,schema.org,2,related,"An action (activity); typing issuer changelog entries as activities mixes them with the library's own provenance, as the first review argued.",The act of managing by changing/editing the state of the object.,https://schema.org/version/latest/schemaorg-current-https.ttl,verified at source,bm25+lead
3,oht:Change,http://www.w3.org/2004/02/skos/core#changeNote,skos:changeNote,SKOS,1,related,Free-text note; could carry a human-readable summary of the change.,A note about a modification to a concept.,http://www.w3.org/2004/02/skos/core.rdf,verified at source,lead
3,oht:Change,http://purl.org/skos-history/deltaFrom,sh:deltaFrom,skos-history,3,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",The version from which the delta is taken. The object of the triple may be a dsv:VersionHistoryRecord.,http://purl.org/skos-history/,definition from source file,bm25
3,oht:Change,http://purl.org/skos-history/hasDelta,sh:hasDelta,skos-history,3,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",A delta for this version. The subject of the triple may be a dsv:VersionHistoryRecord.,http://purl.org/skos-history/,definition from source file,bm25
3,oht:Change,http://www.w3.org/ns/prov#wasRevisionOf,prov:wasRevisionOf,PROV-O,1,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",A revision is a derivation that revises an entity into a revised version.,https://www.w3.org/ns/prov.ttl,definition from source file,bm25
3,oht:Change,http://purl.org/skos-history/deltaTo,sh:deltaTo,skos-history,3,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",The versions to which the delta is taken. The object of the triple may be a dsv:VersionHistoryRecord.,http://purl.org/skos-history/,definition from source file,bm25
3,oht:Change,http://purl.org/skos-history/ConceptDelta,sh:ConceptDelta,skos-history,3,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",The delta of two versions of a SKOS concept.,http://purl.org/skos-history/,definition from source file,bm25
3,oht:Change,http://purl.org/skos-history/SchemeDeltaInsertions,sh:SchemeDeltaInsertions,skos-history,3,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",Should be related to the delta by dcterms:isPartOf.,http://purl.org/skos-history/,definition from source file,bm25
3,oht:Change,http://purl.org/skos-history/SchemeDeltaDeletions,sh:SchemeDeltaDeletions,skos-history,3,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",Should be related to the delta by dcterms:isPartOf.,http://purl.org/skos-history/,definition from source file,bm25
3,oht:Change,http://usefulinc.com/ns/doap#revision,doap:revision,DOAP,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",Revision identifier of a software release.,http://usefulinc.com/ns/doap,definition from source file,bm25
3,oht:Change,http://www.w3.org/ns/prov#hadRevision,prov:hadRevision,PROV-O,1,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",,https://www.w3.org/ns/prov.ttl,no definition in file,bm25
3,oht:Change,https://w3id.org/dpv/ai#UpdateStage,https://w3id.org/dpv/ai#UpdateStage,DPV AI,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",The stage in the lifecycle where an AI system is being or has been updated,https://w3id.org/dpv/ai,definition from source file,bm25
3,oht:Change,https://schema.org/EventMovedOnline,schema:EventMovedOnline,schema.org,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",Indicates that the event was changed to allow online participation. See [[eventAttendanceMode]] for specifics of whether it is now fully or partially online.,https://schema.org/version/latest/schemaorg-current-https.ttl,definition from source file,bm25
3,oht:Change,http://www.w3.org/ns/prov#removedKey,prov:removedKey,PROV-O,1,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",The key removed in a Removal.,https://www.w3.org/ns/prov.ttl,definition from source file,bm25
3,oht:Change,http://www.w3.org/ns/prov#Activity,prov:Activity,PROV-O,1,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.","An activity is something that occurs over a period of time and acts upon or with entities; it may include consuming, processing, transforming, modifying, relocating, using, or generating entities.",https://www.w3.org/ns/prov.ttl,definition from source file,lead
4,oht:Axis,http://www.w3.org/2004/02/skos/core#ConceptScheme,skos:ConceptScheme,SKOS,1,super,"An axis is a small set of values, which is a concept scheme; SKOS tools then read axes.","A set of concepts, optionally including statements about semantic relationships between those concepts.",http://www.w3.org/2004/02/skos/core.rdf,verified at source,bm25+lead
4,oht:Axis,http://purl.org/linked-data/cube#DimensionProperty,qb:DimensionProperty,RDF Data Cube,1,related,"Analogue from statistics: a dimension with a code list; it is a property class, not a scheme.",The class of components which represent the dimensions of the cube,http://purl.org/linked-data/cube,verified at source,lead
4,oht:Axis,http://rdf-vocabulary.ddialliance.org/xkos#ClassificationLevel,xkos:ClassificationLevel,XKOS,2,related,"Levels of one hierarchy, not orthogonal dimensions.",,http://rdf-vocabulary.ddialliance.org/xkos,no definition in the source file,bm25+lead
4,oht:Axis,https://schema.org/DefinedTermSet,schema:DefinedTermSet,schema.org,2,super,schema.org's 'set of categories or a classification scheme'; optional extra alignment for web consumers.,"A set of defined terms, for example a set of categories or a classification scheme, a glossary, dictionary or enumeration. Use the about property to specify what the term set is about.",https://schema.org/version/latest/schemaorg-current-https.ttl,verified at source,lead
4,oht:Axis,http://purl.org/linked-data/cube#HierarchicalCodeList,qb:HierarchicalCodeList,RDF Data Cube,1,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",Represents a generalized hierarchy of concepts which can be used for coding. The hierarchy is defined by one or more roots together with a property which relates concepts in the hierarchy to thier child concept . The same concepts may be members of multiple hierarchies provided that different qb:parentChildProperty values are used for each hierarchy.,http://purl.org/linked-data/cube,definition from source file,bm25
4,oht:Axis,http://www.w3.org/ns/org#classification,http://www.w3.org/ns/org#classification,ORG,1,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",Indicates a classification for this Organization within some classification scheme. Extension vocabularies may wish to specialize this property to have a range corresponding to a specific `skos:ConceptScheme`. This property is under discussion and may be revised or removed - in many cases organizations are best categorized by defining a sub-class hierarchy in an extension vocabulary.,https://www.w3.org/ns/org.ttl,definition from source file,bm25
4,oht:Axis,http://w3id.org/nkos/nkostype#classification_scheme,nkostype:classification_scheme,NKOS KOS Types,3,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.","schedule of concepts and pre-coordinated combinations of concepts, arranged by classification",https://nkos.dublincore.org/nkos-type.html,definition from source file,bm25
4,oht:Axis,http://www.w3.org/2004/02/skos/core#topConceptOf,skos:topConceptOf,SKOS,1,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",Relates a concept to the concept scheme that it is a top level concept of.,http://www.w3.org/2004/02/skos/core.rdf,definition from source file,bm25
4,oht:Axis,http://www.w3.org/2004/02/skos/core#notation,skos:notation,SKOS,1,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.","A notation, also known as classification code, is a string of characters such as ""T58.5"" or ""303.4833"" used to uniquely identify a concept within the scope of a given concept scheme.",http://www.w3.org/2004/02/skos/core.rdf,definition from source file,bm25
4,oht:Axis,http://purl.obolibrary.org/obo/IAO_0000184,obo:IAO_0000184,OBO IAO,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.","A scatterplot is a graph which uses Cartesian coordinates to display values for two variables for a set of data. The data is displayed as a collection of points, each having the value of one variable determining the position on the horizontal axis and the value of the other variable determining the position on the vertical axis.",http://purl.obolibrary.org/obo/iao.owl,definition from source file,bm25
4,oht:Axis,http://purl.org/skos-history/SchemeDelta,sh:SchemeDelta,skos-history,3,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",The delta of two versions of a SKOS concept scheme.,http://purl.org/skos-history/,definition from source file,bm25
4,oht:Axis,http://purl.org/linked-data/cube#codeList,qb:codeList,RDF Data Cube,1,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",gives the code list associated with a CodedProperty,http://purl.org/linked-data/cube,definition from source file,bm25+lead
4,oht:Axis,http://rdf-vocabulary.ddialliance.org/xkos#levels,xkos:levels,XKOS,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",,http://rdf-vocabulary.ddialliance.org/xkos,no definition in file,bm25
4,oht:Axis,http://rdf-vocabulary.ddialliance.org/discovery#representation,disco:representation,DDI Discovery,3,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",RepresentedVariables and Variables can have a Representation whose individuals are either of the class rdfs:Datatype (to represent values) or skos:ConceptScheme (to represent code lists).,http://rdf-vocabulary.ddialliance.org/discovery,definition from source file,bm25
4,oht:Axis,http://www.w3.org/2004/02/skos/core#inScheme,skos:inScheme,SKOS,1,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",Relates a resource (for example a concept) to a concept scheme in which it is included.,http://www.w3.org/2004/02/skos/core.rdf,definition from source file,bm25
4,oht:Axis,http://data.europa.eu/eli/ontology#WorkType,eli:WorkType,ELI,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",,http://data.europa.eu/eli/ontology,no definition in file,bm25
4,oht:Axis,http://data.europa.eu/eli/ontology#type_subdivision,eli:type_subdivision,ELI,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.","The type of a document subdivision (e.g. ""Article"", ""Paragraph"", ""Section"", etc.). A subdivision can have only one type. ELI does not specify a list of possible values. Member states are encouraged to make their own list of values in the corresponding concept scheme. EU Publication Office provies a list of values for EU resource types at https://op.europa.eu/en/web/eu-vocabularies/at-dataset/-/resource/dataset/subdivision",http://data.europa.eu/eli/ontology,definition from source file,bm25
4,oht:Axis,http://www.w3.org/2004/02/skos/core#Collection,skos:Collection,SKOS,1,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",A meaningful collection of concepts.,http://www.w3.org/2004/02/skos/core.rdf,definition from source file,lead
5,oht:OutputSpec,http://www.w3.org/ns/ssn/Output,ssn:Output,SSN,1,super,"In SSN, Output describes what a Procedure reports; an output specification is a kind of that. The coined class adds the output type and axis.",Any information that is reported from a Procedure.,https://www.w3.org/ns/ssn/,verified at source,bm25+lead
5,oht:OutputSpec,http://www.w3.org/ns/sosa/Procedure,sosa:Procedure,SOSA,1,exact,"SOSA's Procedure explicitly includes algorithms and computational methods, so a classifier fits.","A workflow, protocol, plan, algorithm, or computational method specifying how to make an Observation, create a Sample, or make a change to the state of the world (via an Actuator). A Procedure is re-usable, and might be involved in many Observations, Samplings, or Actuations. It explains the steps to be carried out to arrive at reproducible results.",https://www.w3.org/ns/sosa/,verified at source,lead
5,oht:OutputSpec,http://www.w3.org/ns/mls#Model,mls:Model,ML Schema,2,related,"ML Schema models are outputs of runs, not descriptions of a model's output format.","Model is a generalization of a set of training data able to predict values for unseen instances. It is an output from an execution of a data mining algorithm implementation. Models have a dual nature. They can be treated as data structures and as such represented, stored and manipulated. On the other hand, they act as functions and are executed, taking as input data examples and giving as output the result of applying the function to a data example. Models can also be divided into global or local ones. A global model has global coverage of a data set, i.e., it generalizes the whole data set. A local model, such as a pattern set, is a set of local hypotheses, i.e. each applies to a limited region of the data set.",http://www.w3.org/ns/mls,verified at source,bm25+lead
5,oht:OutputSpec,https://schema.org/PropertyValueSpecification,schema:PropertyValueSpecification,schema.org,2,related,Constraints on form inputs.,A Property value specification.,https://schema.org/version/latest/schemaorg-current-https.ttl,verified at source,lead
5,oht:OutputSpec,https://w3id.org/vair#Prediction,https://w3id.org/vair#Prediction,VAIR,3,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",Primary output of an AI system when provided with input data or information.,https://w3id.org/vair,definition from source file,bm25
5,oht:OutputSpec,https://w3id.org/airo#AIModel,https://w3id.org/airo#AIModel,AIRO,3,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.","Mathematical construct that generates an inference or prediction, based on input data.",https://w3id.org/airo,definition from source file,bm25
5,oht:OutputSpec,https://w3id.org/vair#MachineLearningModel,https://w3id.org/vair#MachineLearningModel,VAIR,3,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",Mathematical construct that generates an inference or prediction based on input data or information.,https://w3id.org/vair,definition from source file,bm25
5,oht:OutputSpec,https://w3id.org/dpv/ai#MachineLearningModel,https://w3id.org/dpv/ai#MachineLearningModel,DPV AI,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",Mathematical construct that generates an inference or prediction based on input data or information,https://w3id.org/dpv/ai,definition from source file,bm25
5,oht:OutputSpec,http://www.w3.org/ns/ssn/hasOutput,ssn:hasOutput,SSN,1,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",Relation between a Procedure and an Output of it.,https://www.w3.org/ns/ssn/,definition from source file,bm25+lead
5,oht:OutputSpec,https://w3id.org/vair#InaccuratePrediction,https://w3id.org/vair#InaccuratePrediction,VAIR,3,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",Inaccurate prediction generated by the system.,https://w3id.org/vair,definition from source file,bm25
5,oht:OutputSpec,https://schema.org/Boolean,schema:Boolean,schema.org,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",Boolean: True or False.,https://schema.org/version/latest/schemaorg-current-https.ttl,definition from source file,bm25
5,oht:OutputSpec,https://w3id.org/dpv#PersonnelPerformancePrediction,dpv:PersonnelPerformancePrediction,DPV core,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",Purposes associated with prediction of performance of personnel,https://w3id.org/dpv,definition from source file,bm25
5,oht:OutputSpec,http://www.w3.org/ns/mls#hasOutput,mls:hasOutput,ML Schema,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",A relation between a run and either a model or model evaluation that is produced on it’s output.,http://www.w3.org/ns/mls,definition from source file,bm25
5,oht:OutputSpec,https://w3id.org/vair#DeterminingCreditScore,https://w3id.org/vair#DeterminingCreditScore,VAIR,3,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",Determining credit score of a person,https://w3id.org/vair,definition from source file,bm25
5,oht:OutputSpec,https://schema.org/MedicalRiskScore,schema:MedicalRiskScore,schema.org,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.","A simple system that adds up the number of risk factors to yield a score that is associated with prognosis, e.g. CHAD score, TIMI risk score.",https://schema.org/version/latest/schemaorg-current-https.ttl,definition from source file,bm25
5,oht:OutputSpec,https://w3id.org/vair#BayesianNetwork,https://w3id.org/vair#BayesianNetwork,VAIR,3,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",Probabilistic model that uses Bayesian inference for probability computations using a directed acyclic graph.,https://w3id.org/vair,definition from source file,bm25
